weapon,gender,season,category,pool_weight,alpha,rho_vs_baseline,n_fencers
Foil,Womens,2014/2015,Senior,0.1,0.85,0.9958,437
Foil,Womens,2015/2016,Senior,0.1,0.85,0.9956,443
Foil,Womens,2016/2017,Senior,0.1,0.85,0.9961,470
Foil,Womens,2017/2018,Senior,0.1,0.85,0.9971,543
Foil,Womens,2018/2019,Senior,0.1,0.85,0.997,542
Foil,Womens,2019/2020,Senior,0.1,0.85,0.9959,455
Foil,Womens,2020/2021,Senior,0.1,0.85,0.9921,169
Foil,Womens,2021/2022,Senior,0.1,0.85,0.9962,465
Foil,Womens,2022/2023,Senior,0.1,0.85,0.997,587
Foil,Womens,2023/2024,Senior,0.1,0.85,0.9963,655
Foil,Womens,2024/2025,Senior,0.1,0.85,0.9966,727
Foil,Womens,2025/2026,Senior,0.1,0.85,0.9961,739
Foil,Womens,2014/2015,Senior,0.5,0.85,0.9932,437
Foil,Womens,2015/2016,Senior,0.5,0.85,0.9935,443
Foil,Womens,2016/2017,Senior,0.5,0.85,0.9935,470
Foil,Womens,2017/2018,Senior,0.5,0.85,0.9951,543
Foil,Womens,2018/2019,Senior,0.5,0.85,0.9946,542
Foil,Womens,2019/2020,Senior,0.5,0.85,0.9935,455
Foil,Womens,2020/2021,Senior,0.5,0.85,0.9782,169
Foil,Womens,2021/2022,Senior,0.5,0.85,0.994,465
Foil,Womens,2022/2023,Senior,0.5,0.85,0.9955,587
Foil,Womens,2023/2024,Senior,0.5,0.85,0.9941,655
Foil,Womens,2024/2025,Senior,0.5,0.85,0.9943,727
Foil,Womens,2025/2026,Senior,0.5,0.85,0.9933,739
Foil,Womens,2014/2015,Senior,1.0,0.85,0.9818,437
Foil,Womens,2015/2016,Senior,1.0,0.85,0.9837,443
Foil,Womens,2016/2017,Senior,1.0,0.85,0.9838,470
Foil,Womens,2017/2018,Senior,1.0,0.85,0.9862,543
Foil,Womens,2018/2019,Senior,1.0,0.85,0.9862,542
Foil,Womens,2019/2020,Senior,1.0,0.85,0.9822,455
Foil,Womens,2020/2021,Senior,1.0,0.85,0.937,169
Foil,Womens,2021/2022,Senior,1.0,0.85,0.9838,465
Foil,Womens,2022/2023,Senior,1.0,0.85,0.9885,587
Foil,Womens,2023/2024,Senior,1.0,0.85,0.9851,655
Foil,Womens,2024/2025,Senior,1.0,0.85,0.9851,727
Foil,Womens,2025/2026,Senior,1.0,0.85,0.9834,739
Foil,Womens,2014/2015,Senior,0.2,0.9,0.9984,437
Foil,Womens,2015/2016,Senior,0.2,0.9,0.9986,443
Foil,Womens,2016/2017,Senior,0.2,0.9,0.9984,470
Foil,Womens,2017/2018,Senior,0.2,0.9,0.9988,543
Foil,Womens,2018/2019,Senior,0.2,0.9,0.9989,542
Foil,Womens,2019/2020,Senior,0.2,0.9,0.9985,455
Foil,Womens,2020/2021,Senior,0.2,0.9,0.9993,169
Foil,Womens,2021/2022,Senior,0.2,0.9,0.9988,465
Foil,Womens,2022/2023,Senior,0.2,0.9,0.999,587
Foil,Womens,2023/2024,Senior,0.2,0.9,0.9991,655
Foil,Womens,2024/2025,Senior,0.2,0.9,0.9986,727
Foil,Womens,2025/2026,Senior,0.2,0.9,0.9985,739
Epee,Womens,2014/2015,Senior,0.1,0.85,0.9964,663
Epee,Womens,2015/2016,Senior,0.1,0.85,0.9966,649
Epee,Womens,2016/2017,Senior,0.1,0.85,0.9962,737
Epee,Womens,2017/2018,Senior,0.1,0.85,0.9961,749
Epee,Womens,2018/2019,Senior,0.1,0.85,0.9968,813
Epee,Womens,2019/2020,Senior,0.1,0.85,0.9958,688
Epee,Womens,2020/2021,Senior,0.1,0.85,0.993,233
Epee,Womens,2021/2022,Senior,0.1,0.85,0.9954,558
Epee,Womens,2022/2023,Senior,0.1,0.85,0.9966,788
Epee,Womens,2023/2024,Senior,0.1,0.85,0.9968,740
Epee,Womens,2024/2025,Senior,0.1,0.85,0.9959,830
Epee,Womens,2025/2026,Senior,0.1,0.85,0.9958,929
Epee,Womens,2014/2015,Senior,0.5,0.85,0.9944,663
Epee,Womens,2015/2016,Senior,0.5,0.85,0.9944,649
Epee,Womens,2016/2017,Senior,0.5,0.85,0.9937,737
Epee,Womens,2017/2018,Senior,0.5,0.85,0.9935,749
Epee,Womens,2018/2019,Senior,0.5,0.85,0.9952,813
Epee,Womens,2019/2020,Senior,0.5,0.85,0.9933,688
Epee,Womens,2020/2021,Senior,0.5,0.85,0.9831,233
Epee,Womens,2021/2022,Senior,0.5,0.85,0.9919,558
Epee,Womens,2022/2023,Senior,0.5,0.85,0.9943,788
Epee,Womens,2023/2024,Senior,0.5,0.85,0.9956,740
Epee,Womens,2024/2025,Senior,0.5,0.85,0.9935,830
Epee,Womens,2025/2026,Senior,0.5,0.85,0.9935,929
Epee,Womens,2014/2015,Senior,1.0,0.85,0.9857,663
Epee,Womens,2015/2016,Senior,1.0,0.85,0.9846,649
Epee,Womens,2016/2017,Senior,1.0,0.85,0.9836,737
Epee,Womens,2017/2018,Senior,1.0,0.85,0.9821,749
Epee,Womens,2018/2019,Senior,1.0,0.85,0.9871,813
Epee,Womens,2019/2020,Senior,1.0,0.85,0.9811,688
Epee,Womens,2020/2021,Senior,1.0,0.85,0.9439,233
Epee,Womens,2021/2022,Senior,1.0,0.85,0.9764,558
Epee,Womens,2022/2023,Senior,1.0,0.85,0.9849,788
Epee,Womens,2023/2024,Senior,1.0,0.85,0.9885,740
Epee,Womens,2024/2025,Senior,1.0,0.85,0.9832,830
Epee,Womens,2025/2026,Senior,1.0,0.85,0.983,929
Epee,Womens,2014/2015,Senior,0.2,0.9,0.9985,663
Epee,Womens,2015/2016,Senior,0.2,0.9,0.9986,649
Epee,Womens,2016/2017,Senior,0.2,0.9,0.9983,737
Epee,Womens,2017/2018,Senior,0.2,0.9,0.9981,749
Epee,Womens,2018/2019,Senior,0.2,0.9,0.9987,813
Epee,Womens,2019/2020,Senior,0.2,0.9,0.9985,688
Epee,Womens,2020/2021,Senior,0.2,0.9,0.9996,233
Epee,Womens,2021/2022,Senior,0.2,0.9,0.9988,558
Epee,Womens,2022/2023,Senior,0.2,0.9,0.9988,788
Epee,Womens,2023/2024,Senior,0.2,0.9,0.9988,740
Epee,Womens,2024/2025,Senior,0.2,0.9,0.9985,830
Epee,Womens,2025/2026,Senior,0.2,0.9,0.9985,929
Sabre,Womens,2014/2015,Senior,0.1,0.85,0.9956,496
Sabre,Womens,2015/2016,Senior,0.1,0.85,0.9953,481
Sabre,Womens,2016/2017,Senior,0.1,0.85,0.9971,407
Sabre,Womens,2017/2018,Senior,0.1,0.85,0.9963,439
Sabre,Womens,2018/2019,Senior,0.1,0.85,0.9976,478
Sabre,Womens,2019/2020,Senior,0.1,0.85,0.9957,371
Sabre,Womens,2020/2021,Senior,0.1,0.85,0.9932,208
Sabre,Womens,2021/2022,Senior,0.1,0.85,0.9972,426
Sabre,Womens,2022/2023,Senior,0.1,0.85,0.9975,442
Sabre,Womens,2023/2024,Senior,0.1,0.85,0.9968,444
Sabre,Womens,2024/2025,Senior,0.1,0.85,0.9971,532
Sabre,Womens,2025/2026,Senior,0.1,0.85,0.9964,609
Sabre,Womens,2014/2015,Senior,0.5,0.85,0.9926,496
Sabre,Womens,2015/2016,Senior,0.5,0.85,0.9938,481
Sabre,Womens,2016/2017,Senior,0.5,0.85,0.9953,407
Sabre,Womens,2017/2018,Senior,0.5,0.85,0.9955,439
Sabre,Womens,2018/2019,Senior,0.5,0.85,0.9955,478
Sabre,Womens,2019/2020,Senior,0.5,0.85,0.9923,371
Sabre,Womens,2020/2021,Senior,0.5,0.85,0.9841,208
Sabre,Womens,2021/2022,Senior,0.5,0.85,0.9961,426
Sabre,Womens,2022/2023,Senior,0.5,0.85,0.996,442
Sabre,Womens,2023/2024,Senior,0.5,0.85,0.9952,444
Sabre,Womens,2024/2025,Senior,0.5,0.85,0.9952,532
Sabre,Womens,2025/2026,Senior,0.5,0.85,0.9942,609
Sabre,Womens,2014/2015,Senior,1.0,0.85,0.9812,496
Sabre,Womens,2015/2016,Senior,1.0,0.85,0.9843,481
Sabre,Womens,2016/2017,Senior,1.0,0.85,0.987,407
Sabre,Womens,2017/2018,Senior,1.0,0.85,0.9876,439
Sabre,Womens,2018/2019,Senior,1.0,0.85,0.9885,478
Sabre,Womens,2019/2020,Senior,1.0,0.85,0.9779,371
Sabre,Womens,2020/2021,Senior,1.0,0.85,0.9485,208
Sabre,Womens,2021/2022,Senior,1.0,0.85,0.988,426
Sabre,Womens,2022/2023,Senior,1.0,0.85,0.9896,442
Sabre,Womens,2023/2024,Senior,1.0,0.85,0.987,444
Sabre,Womens,2024/2025,Senior,1.0,0.85,0.9868,532
Sabre,Womens,2025/2026,Senior,1.0,0.85,0.985,609
Sabre,Womens,2014/2015,Senior,0.2,0.9,0.9986,496
Sabre,Womens,2015/2016,Senior,0.2,0.9,0.9982,481
Sabre,Womens,2016/2017,Senior,0.2,0.9,0.999,407
Sabre,Womens,2017/2018,Senior,0.2,0.9,0.9988,439
Sabre,Womens,2018/2019,Senior,0.2,0.9,0.9989,478
Sabre,Womens,2019/2020,Senior,0.2,0.9,0.9987,371
Sabre,Womens,2020/2021,Senior,0.2,0.9,0.9997,208
Sabre,Womens,2021/2022,Senior,0.2,0.9,0.9989,426
Sabre,Womens,2022/2023,Senior,0.2,0.9,0.9991,442
Sabre,Womens,2023/2024,Senior,0.2,0.9,0.999,444
Sabre,Womens,2024/2025,Senior,0.2,0.9,0.9988,532
Sabre,Womens,2025/2026,Senior,0.2,0.9,0.9984,609
Foil,Mens,2014/2015,Senior,0.1,0.85,0.9952,696
Foil,Mens,2015/2016,Senior,0.1,0.85,0.9954,679
Foil,Mens,2016/2017,Senior,0.1,0.85,0.9959,788
Foil,Mens,2017/2018,Senior,0.1,0.85,0.9967,850
Foil,Mens,2018/2019,Senior,0.1,0.85,0.9967,790
Foil,Mens,2019/2020,Senior,0.1,0.85,0.9951,662
Foil,Mens,2020/2021,Senior,0.1,0.85,0.9913,187
Foil,Mens,2021/2022,Senior,0.1,0.85,0.9955,602
Foil,Mens,2022/2023,Senior,0.1,0.85,0.9962,824
Foil,Mens,2023/2024,Senior,0.1,0.85,0.9966,912
Foil,Mens,2024/2025,Senior,0.1,0.85,0.9964,906
Foil,Mens,2025/2026,Senior,0.1,0.85,0.9964,971
Foil,Mens,2014/2015,Senior,0.5,0.85,0.9931,696
Foil,Mens,2015/2016,Senior,0.5,0.85,0.993,679
Foil,Mens,2016/2017,Senior,0.5,0.85,0.9924,788
Foil,Mens,2017/2018,Senior,0.5,0.85,0.9942,850
Foil,Mens,2018/2019,Senior,0.5,0.85,0.9939,790
Foil,Mens,2019/2020,Senior,0.5,0.85,0.9916,662
Foil,Mens,2020/2021,Senior,0.5,0.85,0.9796,187
Foil,Mens,2021/2022,Senior,0.5,0.85,0.9925,602
Foil,Mens,2022/2023,Senior,0.5,0.85,0.994,824
Foil,Mens,2023/2024,Senior,0.5,0.85,0.994,912
Foil,Mens,2024/2025,Senior,0.5,0.85,0.9942,906
Foil,Mens,2025/2026,Senior,0.5,0.85,0.995,971
Foil,Mens,2014/2015,Senior,1.0,0.85,0.9832,696
Foil,Mens,2015/2016,Senior,1.0,0.85,0.982,679
Foil,Mens,2016/2017,Senior,1.0,0.85,0.9808,788
Foil,Mens,2017/2018,Senior,1.0,0.85,0.9846,850
Foil,Mens,2018/2019,Senior,1.0,0.85,0.9838,790
Foil,Mens,2019/2020,Senior,1.0,0.85,0.9782,662
Foil,Mens,2020/2021,Senior,1.0,0.85,0.9416,187
Foil,Mens,2021/2022,Senior,1.0,0.85,0.9808,602
Foil,Mens,2022/2023,Senior,1.0,0.85,0.9848,824
Foil,Mens,2023/2024,Senior,1.0,0.85,0.9845,912
Foil,Mens,2024/2025,Senior,1.0,0.85,0.9853,906
Foil,Mens,2025/2026,Senior,1.0,0.85,0.9872,971
Foil,Mens,2014/2015,Senior,0.2,0.9,0.998,696
Foil,Mens,2015/2016,Senior,0.2,0.9,0.9981,679
Foil,Mens,2016/2017,Senior,0.2,0.9,0.998,788
Foil,Mens,2017/2018,Senior,0.2,0.9,0.9985,850
Foil,Mens,2018/2019,Senior,0.2,0.9,0.9985,790
Foil,Mens,2019/2020,Senior,0.2,0.9,0.9982,662
Foil,Mens,2020/2021,Senior,0.2,0.9,0.9997,187
Foil,Mens,2021/2022,Senior,0.2,0.9,0.9982,602
Foil,Mens,2022/2023,Senior,0.2,0.9,0.9985,824
Foil,Mens,2023/2024,Senior,0.2,0.9,0.9987,912
Foil,Mens,2024/2025,Senior,0.2,0.9,0.9987,906
Foil,Mens,2025/2026,Senior,0.2,0.9,0.9987,971
Epee,Mens,2013/2014,Senior,0.1,0.85,0.9846,255
Epee,Mens,2014/2015,Senior,0.1,0.85,0.9964,1191
Epee,Mens,2015/2016,Senior,0.1,0.85,0.9958,1011
Epee,Mens,2016/2017,Senior,0.1,0.85,0.9961,1092
Epee,Mens,2017/2018,Senior,0.1,0.85,0.996,1057
Epee,Mens,2018/2019,Senior,0.1,0.85,0.9961,1049
Epee,Mens,2019/2020,Senior,0.1,0.85,0.9957,807
Epee,Mens,2020/2021,Senior,0.1,0.85,0.9908,260
Epee,Mens,2021/2022,Senior,0.1,0.85,0.9972,679
Epee,Mens,2022/2023,Senior,0.1,0.85,0.9967,1094
Epee,Mens,2023/2024,Senior,0.1,0.85,0.9965,962
Epee,Mens,2024/2025,Senior,0.1,0.85,0.997,1072
Epee,Mens,2025/2026,Senior,0.1,0.85,0.9961,1220
Epee,Mens,2013/2014,Senior,0.5,0.85,0.976,255
Epee,Mens,2014/2015,Senior,0.5,0.85,0.994,1191
Epee,Mens,2015/2016,Senior,0.5,0.85,0.9934,1011
Epee,Mens,2016/2017,Senior,0.5,0.85,0.9938,1092
Epee,Mens,2017/2018,Senior,0.5,0.85,0.9936,1057
Epee,Mens,2018/2019,Senior,0.5,0.85,0.9939,1049
Epee,Mens,2019/2020,Senior,0.5,0.85,0.9932,807
Epee,Mens,2020/2021,Senior,0.5,0.85,0.9776,260
Epee,Mens,2021/2022,Senior,0.5,0.85,0.9942,679
Epee,Mens,2022/2023,Senior,0.5,0.85,0.995,1094
Epee,Mens,2023/2024,Senior,0.5,0.85,0.9945,962
Epee,Mens,2024/2025,Senior,0.5,0.85,0.9949,1072
Epee,Mens,2025/2026,Senior,0.5,0.85,0.9937,1220
Epee,Mens,2013/2014,Senior,1.0,0.85,0.9364,255
Epee,Mens,2014/2015,Senior,1.0,0.85,0.9837,1191
Epee,Mens,2015/2016,Senior,1.0,0.85,0.982,1011
Epee,Mens,2016/2017,Senior,1.0,0.85,0.9829,1092
Epee,Mens,2017/2018,Senior,1.0,0.85,0.9822,1057
Epee,Mens,2018/2019,Senior,1.0,0.85,0.9837,1049
Epee,Mens,2019/2020,Senior,1.0,0.85,0.9815,807
Epee,Mens,2020/2021,Senior,1.0,0.85,0.9328,260
Epee,Mens,2021/2022,Senior,1.0,0.85,0.983,679
Epee,Mens,2022/2023,Senior,1.0,0.85,0.9867,1094
Epee,Mens,2023/2024,Senior,1.0,0.85,0.9853,962
Epee,Mens,2024/2025,Senior,1.0,0.85,0.9859,1072
Epee,Mens,2025/2026,Senior,1.0,0.85,0.9827,1220
Epee,Mens,2013/2014,Senior,0.2,0.9,0.9989,255
Epee,Mens,2014/2015,Senior,0.2,0.9,0.998,1191
Epee,Mens,2015/2016,Senior,0.2,0.9,0.998,1011
Epee,Mens,2016/2017,Senior,0.2,0.9,0.9978,1092
Epee,Mens,2017/2018,Senior,0.2,0.9,0.9979,1057
Epee,Mens,2018/2019,Senior,0.2,0.9,0.998,1049
Epee,Mens,2019/2020,Senior,0.2,0.9,0.9985,807
Epee,Mens,2020/2021,Senior,0.2,0.9,0.9991,260
Epee,Mens,2021/2022,Senior,0.2,0.9,0.9992,679
Epee,Mens,2022/2023,Senior,0.2,0.9,0.9986,1094
Epee,Mens,2023/2024,Senior,0.2,0.9,0.9984,962
Epee,Mens,2024/2025,Senior,0.2,0.9,0.9987,1072
Epee,Mens,2025/2026,Senior,0.2,0.9,0.9984,1220
Sabre,Mens,2014/2015,Senior,0.1,0.85,0.9961,562
Sabre,Mens,2015/2016,Senior,0.1,0.85,0.996,608
Sabre,Mens,2016/2017,Senior,0.1,0.85,0.9965,580
Sabre,Mens,2017/2018,Senior,0.1,0.85,0.9965,601
Sabre,Mens,2018/2019,Senior,0.1,0.85,0.9971,623
Sabre,Mens,2019/2020,Senior,0.1,0.85,0.9959,396
Sabre,Mens,2020/2021,Senior,0.1,0.85,0.9921,230
Sabre,Mens,2021/2022,Senior,0.1,0.85,0.9955,509
Sabre,Mens,2022/2023,Senior,0.1,0.85,0.9959,649
Sabre,Mens,2023/2024,Senior,0.1,0.85,0.9963,686
Sabre,Mens,2024/2025,Senior,0.1,0.85,0.9952,961
Sabre,Mens,2025/2026,Senior,0.1,0.85,0.9951,795
Sabre,Mens,2014/2015,Senior,0.5,0.85,0.9937,562
Sabre,Mens,2015/2016,Senior,0.5,0.85,0.9939,608
Sabre,Mens,2016/2017,Senior,0.5,0.85,0.9939,580
Sabre,Mens,2017/2018,Senior,0.5,0.85,0.9944,601
Sabre,Mens,2018/2019,Senior,0.5,0.85,0.9948,623
Sabre,Mens,2019/2020,Senior,0.5,0.85,0.9929,396
Sabre,Mens,2020/2021,Senior,0.5,0.85,0.977,230
Sabre,Mens,2021/2022,Senior,0.5,0.85,0.9918,509
Sabre,Mens,2022/2023,Senior,0.5,0.85,0.9939,649
Sabre,Mens,2023/2024,Senior,0.5,0.85,0.9927,686
Sabre,Mens,2024/2025,Senior,0.5,0.85,0.9915,961
Sabre,Mens,2025/2026,Senior,0.5,0.85,0.9922,795
Sabre,Mens,2014/2015,Senior,1.0,0.85,0.9832,562
Sabre,Mens,2015/2016,Senior,1.0,0.85,0.9851,608
Sabre,Mens,2016/2017,Senior,1.0,0.85,0.984,580
Sabre,Mens,2017/2018,Senior,1.0,0.85,0.9853,601
Sabre,Mens,2018/2019,Senior,1.0,0.85,0.9862,623
Sabre,Mens,2019/2020,Senior,1.0,0.85,0.9796,396
Sabre,Mens,2020/2021,Senior,1.0,0.85,0.9242,230
Sabre,Mens,2021/2022,Senior,1.0,0.85,0.9772,509
Sabre,Mens,2022/2023,Senior,1.0,0.85,0.9847,649
Sabre,Mens,2023/2024,Senior,1.0,0.85,0.9805,686
Sabre,Mens,2024/2025,Senior,1.0,0.85,0.9762,961
Sabre,Mens,2025/2026,Senior,1.0,0.85,0.9796,795
Sabre,Mens,2014/2015,Senior,0.2,0.9,0.9987,562
Sabre,Mens,2015/2016,Senior,0.2,0.9,0.9984,608
Sabre,Mens,2016/2017,Senior,0.2,0.9,0.9986,580
Sabre,Mens,2017/2018,Senior,0.2,0.9,0.9989,601
Sabre,Mens,2018/2019,Senior,0.2,0.9,0.9986,623
Sabre,Mens,2019/2020,Senior,0.2,0.9,0.9985,396
Sabre,Mens,2020/2021,Senior,0.2,0.9,0.9996,230
Sabre,Mens,2021/2022,Senior,0.2,0.9,0.9985,509
Sabre,Mens,2022/2023,Senior,0.2,0.9,0.9983,649
Sabre,Mens,2023/2024,Senior,0.2,0.9,0.9982,686
Sabre,Mens,2024/2025,Senior,0.2,0.9,0.9985,961
Sabre,Mens,2025/2026,Senior,0.2,0.9,0.9979,795
